PC,O,H,L,C
595.1,596,696,596,664
"1,158.85","1,162.40","1,284.00","1,152.00","1,251.00"
524.35,524.05,574.7,524.05,560.3
92.6,92.1,100.5,92.1,94.7
"2,030.40","2,050.00","2,225.00","2,046.00","2,218.00"
420.65,421.35,455.65,421.35,454.85
153.5,152.75,164.3,152.75,157.7
263.75,265,285,262.85,278.25
351.55,350.55,376.35,350,365
"1,254.30","1,262.80","1,354.00","1,235.10","1,337.00"
191.15,196,210,195.25,205.55
203.45,201.9,216.25,201.6,215.5
350.95,355,379.1,349.55,370
"4,403.95","4,382.00","4,676.10","4,352.00","4,448.00"
83.55,84.35,90,82.1,88.75
294.8,296,315.8,291.6,311.2
361.55,362,385.7,360.05,380
62.55,65.5,69.7,64.05,67.8
"1,170.50","1,170.00","1,245.00","1,167.90","1,229.00"
313.95,316.95,337,313.8,323.6
393.05,396,420.55,392.1,411.2
886.95,888,939.85,879,880.2
"6,487.65","6,517.65","6,888.00","6,500.00","6,840.00"
658.8,664.8,702.2,642,654
"1,600.00","1,609.00","1,698.50","1,605.70","1,647.55"
"1,788.10","1,800.00","1,899.80","1,790.00","1,872.00"
"1,114.65","1,115.00","1,175.90","1,097.25","1,175.00"
178.4,177.15,186.8,176.05,181.5
"1,397.50","1,404.70","1,480.80","1,400.05","1,480.80"
59.75,60.1,63.35,59.2,63.25
181.65,183,192.6,180.5,188.35
163.85,165.45,174,164.45,171.7
123.5,123,129.35,123,128.25
897.6,898,943.8,898,937.5
551.85,554.8,582.8,554.05,582
325.9,323.8,340,323.8,329.9
61.05,61,63.95,59.9,62.1
"12,365.00","12,450.10","13,050.00","12,401.00","12,800.00"
301.7,301,315.5,300.3,302
783.5,791,827.85,780.35,804
"1,391.00","1,390.15","1,454.80","1,390.15","1,452.00"
363.8,367.9,385,354.45,376
628.2,626.05,654.9,625.05,653
701.65,705,737.25,702.7,713.4
488.1,488.1,510.4,481.4,507
20.75,20.9,21.85,20.55,20.75
199.7,198.5,207.45,198.1,204.4
550.35,550.35,574.8,546.3,572
476.45,474,495,473,484.55
544.35,547.75,571.95,540.4,554
742.95,741.75,774.5,739.15,774.2
409.2,426.9,445.65,421.45,444.65
778.75,785.15,818.85,772.6,776.4
359.25,359.25,374.5,353.85,360.1
630.65,633.05,659.7,632.1,653
"1,155.35","1,157.15","1,205.00","1,147.85","1,193.00"
298.7,298.75,311,298.45,310
181.05,180.15,187.5,180.15,186.35
530.3,530.15,551.45,527.5,550
490.4,484,503.35,466.8,500.9
500,496.1,515.9,496.1,510.1
312.6,310.15,322.5,308.85,321
301.7,303,315,303,312.05
"1,184.85","1,171.00","1,217.00","1,163.30","1,169.00"
163.45,163.4,169.8,162.2,169.5
802.3,804.9,836.4,800,823.5
158.6,158.8,165,157.35,159.95
"4,347.50","4,310.00","4,475.00","4,310.00","4,408.00"
"1,732.70","1,732.00","1,797.80","1,726.65","1,756.60"
128.55,129,133.9,128.7,129
160.1,162.15,168.3,161.1,163.5
539.9,544.75,565.4,540,561.15
32.2,32.2,33.4,32,32.7
421.9,423,438.7,412.2,414
"1,426.00","1,420.05","1,472.65","1,407.00","1,459.50"
662.45,663.5,687.8,660,669.4
518.95,528.9,548,522.05,544
"1,333.85","1,327.05","1,374.90","1,292.10","1,355.75"
385.9,385.15,399,385.15,398.5
